ProductID,ProductName,Category,SubCategory,Brand,UnitCost,SellingPrice,ReorderLevel,LeadTimeDays,DemandTier
P0001,Wireless Earbuds,Electronics,Audio,Driftwood,31.84,80.74,91,23,Medium Mover
P0002,Bluetooth Speaker,Electronics,Audio,Driftwood,15.01,22.56,107,23,Fast Mover
P0003,Over-Ear Headphones,Electronics,Audio,Solace,49.29,109.45,72,4,Medium Mover
P0004,Soundbar Compact,Electronics,Audio,Veltrix,58.59,147.65,40,3,Medium Mover
P0005,Wireless Mouse,Electronics,Computing,Aurex,26.43,52.39,108,19,Medium Mover
P0006,Mechanical Keyboard,Electronics,Computing,Aurex,43.41,79.0,34,17,Medium Mover
P0007,USB-C Hub,Electronics,Computing,Lumeo,50.62,90.97,83,27,Slow Mover
P0008,Laptop Stand,Electronics,Computing,Marrow & Co,6.58,13.75,92,9,Medium Mover
P0009,Webcam HD,Electronics,Computing,Stratos,4.02,10.15,28,28,Medium Mover
P0010,Phone Case,Electronics,Mobile Accessories,Mellow Goods,10.52,23.03,27,17,Medium Mover
P0011,Fast Charger,Electronics,Mobile Accessories,Veltrix,16.35,29.57,123,6,Slow Mover
P0012,Power Bank 10000mAh,Electronics,Mobile Accessories,Cobalt Supply,27.0,53.35,23,24,Fast Mover
P0013,Screen Protector,Electronics,Mobile Accessories,Aurex,5.41,12.96,33,18,Medium Mover
P0014,Smart Plug,Electronics,Smart Home,Aurex,28.14,57.45,59,23,Slow Mover
P0015,Motion Sensor Light,Electronics,Smart Home,Marrow & Co,32.93,54.43,43,28,Slow Mover
P0016,Smart Thermostat,Electronics,Smart Home,Pelican Run,77.32,161.53,60,17,Medium Mover
P0017,Video Doorbell,Electronics,Smart Home,Hartline,15.73,20.77,107,3,Slow Mover
P0018,Non-Stick Pan Set,Home Goods,Kitchenware,Driftwood,18.3,23.92,100,10,Slow Mover
P0019,Electric Kettle,Home Goods,Kitchenware,Marrow & Co,59.13,136.16,60,9,Medium Mover
P0020,Knife Set,Home Goods,Kitchenware,Northbridge,68.45,128.98,67,25,Medium Mover
P0021,Cutting Board,Home Goods,Kitchenware,Calderon,26.95,46.43,123,24,Slow Mover
P0022,Mixing Bowl Set,Home Goods,Kitchenware,Marrow & Co,71.32,136.5,20,7,Medium Mover
P0023,Folding Table,Home Goods,Furniture,Brightwell,46.22,106.41,46,11,Slow Mover
P0024,Bar Stool,Home Goods,Furniture,Aurex,57.72,83.36,82,9,Fast Mover
P0025,Storage Ottoman,Home Goods,Furniture,Lumeo,39.6,80.48,48,6,Medium Mover
P0026,Bookshelf Compact,Home Goods,Furniture,Calderon,75.6,157.14,105,4,Slow Mover
P0027,Wall Clock,Home Goods,Decor,Marrow & Co,51.08,86.04,47,14,Medium Mover
P0028,Throw Pillow Cover,Home Goods,Decor,Driftwood,17.37,42.74,147,28,Slow Mover
P0029,Table Lamp,Home Goods,Decor,Stratos,12.4,21.86,148,27,Slow Mover
P0030,Picture Frame Set,Home Goods,Decor,Pelican Run,52.87,68.77,22,9,Medium Mover
P0031,Storage Bin Set,Home Goods,Storage,Stratos,15.68,31.27,70,12,Medium Mover
P0032,Vacuum Bags,Home Goods,Storage,Solace,29.0,73.25,115,26,Medium Mover
P0033,Closet Organizer,Home Goods,Storage,Northbridge,57.13,101.28,71,14,Medium Mover
P0034,Shoe Rack,Home Goods,Storage,Northbridge,22.39,43.58,120,19,Fast Mover
P0035,Rain Jacket,Apparel,Outerwear,Veltrix,79.83,131.47,149,24,Medium Mover
